A12JOHN        100129088092111074092114112077121080
A14ANNE        092114112077121080100129088092111074
B10ADAM        000000000000000000104129088092000000
B12JOANNE      104129088092000000065000045067087100
B13LEE         119104080095131074092111074092114112
B14MARGARET    090000000000120121112077121080100129
B35NOAH        000000000000000000000000000000000000
C09SAM         102102129120099098129088092111074092
C11JOHNNY      088087043000000050000001201211120771
C13HELEN       130131140112125126102102129120099098
C17DOMINIC     099100099099099099011212512610210212
C19GERRY       120118120110110094010112109813411910
C21EARL        114000129000130130099099099011212512
C22AMANDA      000000000000000000000000000000000000
C23GEORGE      000000123000000000086000000000202000
C25MELISSA     134130101121098134119104080095131074
C27JIM         065000045067087100000000000000000000
D10THEO        080095131074092111074092114112131074
D25KIMMIE      129088092000021291200990074092114112
E14MARK        012111207707409211411213107480100129
E52JEREMY      065000045067087041290880004506708710
